Category,Response_Time
Installation,12.7297222222
Installation,2.72416666667
Installation,3.77
Installation,0.451388888889
Installation,15.5672222222
Installation,11.5466666667
Installation,0.0
Installation,4.66916666667
Installation,18.6108333333
Installation,0.191666666667
Installation,1.21805555556
Installation,0.105277777778
Installation,1.12083333333
Installation,0.195833333333
Installation,0.512777777778
Installation,5.08833333333
Installation,3.37027777778
Installation,0.780277777778
Installation,0.103333333333
Installation,1.56611111111
Installation,0.260555555556
Installation,4.35527777778
Installation,2.10805555556
Installation,1.18222222222
Installation,1.08194444444
Installation,6.3725
Installation,11.2280555556
Installation,0.114166666667
Installation,4.61444444444
Installation,0.383333333333
Installation,5.21138888889
Installation,3.80111111111
Installation,0.270277777778
Installation,1.11944444444
Installation,5.36222222222
Installation,0.108333333333
Installation,18.0508333333
Installation,0.0872222222222
Installation,0.04
Installation,20.8791666667
Installation,0.13
Installation,0.158333333333
Installation,0.769444444444
Installation,1.52861111111
Installation,0.178888888889
Installation,0.116111111111
Installation,0.152222222222
Installation,0.753055555556
Installation,0.153333333333
Installation,4.0675
Installation,3.14694444444
Installation,3.31222222222
Installation,0.979166666667
Installation,0.0747222222222
Installation,5.44416666667
Installation,2.1225
Installation,0.413888888889
Installation,0.0
Installation,2.32027777778
Installation,0.219722222222
Installation,1.68166666667
Installation,0.0805555555556
Installation,1.27444444444
Installation,2.76222222222
Installation,2.76444444444
Installation,3.42722222222
Installation,0.408055555556
Installation,10.9341666667
Installation,2.91055555556
Installation,7.39888888889
Installation,0.579166666667
Installation,15.5463888889
Installation,20.2075
Installation,0.818055555556
Installation,0.0627777777778
Installation,0.0791666666667
Installation,0.4975
Installation,0.191944444444
Installation,0.892777777778
Installation,0.331111111111
Installation,14.2438888889
Installation,4.65055555556
Installation,6.07472222222
Installation,0.524722222222
Installation,0.612222222222
Installation,0.986944444444
Installation,0.879166666667
Installation,0.0752777777778
Installation,0.252777777778
Installation,4.1375
Installation,1.97333333333
Installation,0.170833333333
Installation,3.34111111111
Installation,0.305555555556
Installation,0.0966666666667
Installation,0.0227777777778
Installation,0.776944444444
Installation,2.55111111111
Installation,16.4255555556
Installation,8.88861111111
Installation,16.8144444444
Installation,0.272777777778
Installation,0.0716666666667
Installation,12.07
Installation,0.161944444444
Installation,0.0347222222222
Installation,4.0825
Installation,7.85944444444
Installation,0.0
Installation,0.909444444444
Installation,0.116111111111
Installation,0.942777777778
Installation,0.124722222222
Installation,2.08583333333
Installation,0.1125
Installation,1.48083333333
Installation,0.257777777778
Installation,20.8497222222
